Split,Scenario_Count,WT_Mean_Correlation,PV_Mean_Correlation,Load_Mean_Correlation,Price_Mean_Correlation,Overall_Mean_Correlation,Minimum_Single_Signal_Correlation
train,500,0.9311029206051528,0.9671489232675256,0.9255584734903364,0.9182908005135282,0.9355252794691358,0.8202248272620798
val,60,0.930602714644073,0.9713043513818812,0.9282135974816682,0.9149221857857591,0.9362607123233455,0.8449142726632652
test,120,0.9284979822707038,0.9657204091196319,0.9263504644482452,0.9140391856095793,0.9336520103620402,0.8245519741630427
all,680,0.9305990897848607,0.9672634879573992,0.9259325122468494,0.9172432848192047,0.9352595937020786,0.8202248272620798
